refit_month,target_type,feature,standardized_coefficient
2020-04-30,original_1m,low_volatility_missing,0.0
2020-04-30,original_1m,large_cap_stability_missing,0.0
2020-04-30,original_1m,short_reversal_missing,0.0
2020-04-30,original_1m,illiquidity_premium_missing,0.0
2020-04-30,original_1m,roe_missing,-0.004474257307979027
2020-04-30,original_1m,roa_missing,-0.0046002863489251365
2020-04-30,original_1m,gross_margin_missing,0.0028274421488711974
2020-04-30,original_1m,cash_conversion_missing,0.0003228257560420839
2020-04-30,original_1m,medium_reversal_3m_missing,0.0
2020-04-30,original_1m,medium_reversal_6m_missing,0.0
2020-04-30,original_1m,return_stability_6m_missing,0.0
2020-04-30,original_1m,return_stability_12m_missing,0.0
2020-04-30,original_1m,downside_stability_12m_missing,0.0012312163537193056
2020-04-30,original_1m,low_turnover_missing,0.0
2020-04-30,original_1m,lottery_avoidance_missing,0.0
2020-04-30,original_1m,residual_reversal_missing,0.0
2020-04-30,original_1m,profitability_momentum_missing,-0.003805739321783888
2020-04-30,original_1m,value_composite_missing,0.0005048535373352932
2020-04-30,original_1m,quality_composite_missing,0.004217992382199134
2020-07-31,original_1m,long_term_reversal_12_1,-0.00611530149332083
2020-07-31,original_1m,earnings_yield,0.006331195841441384
2020-07-31,original_1m,book_to_market,0.003572940044371573
2020-07-31,original_1m,sales_to_price,0.005447026281638593
2020-07-31,original_1m,low_volatility,0.0017618050455630553
2020-07-31,original_1m,large_cap_stability,-0.002629671914859516
2020-07-31,original_1m,short_reversal,0.02596877873813876
2020-07-31,original_1m,illiquidity_premium,0.01289739518233144
2020-07-31,original_1m,roe,0.0074530183758389065
2020-07-31,original_1m,roa,0.011045865469040808
2020-07-31,original_1m,gross_margin,0.013458203289169364
2020-07-31,original_1m,cash_conversion,0.008731387437705919
2020-07-31,original_1m,medium_reversal_3m,0.006376733392745987
2020-07-31,original_1m,medium_reversal_6m,-0.002156786964399396
2020-07-31,original_1m,return_stability_6m,-0.0007373051037215983
2020-07-31,original_1m,return_stability_12m,0.00718492486492332
2020-07-31,original_1m,downside_stability_12m,-0.0007641743586954624
