signal_month,realization_month,period,long_short_gross_return,long_short_turnover,long_short_net_return_20bps,long_short_proxy_net_return,explicit_cost,impact_proxy_cost,net_return,net_return_0bps,net_return_20bps,net_return_50bps,net_return_100bps
2023-01-31,2023-02-28,selection,0.0388920504026907,0.7279341112992095,0.0374361821800922,0.0348323308238528,0.0014558682225984188,0.0026038513562394033,0.034832330823852876,0.0388920504026907,0.03743618218009228,0.03525237984619465,0.0316127092896986
2023-02-28,2023-03-31,selection,0.0226323630471269,0.2235964797005328,0.0221851700877258,0.0214715324388204,0.0004471929594010656,0.0007136376489053978,0.021471532438820436,0.0226323630471269,0.022185170087725834,0.021514380648624234,0.020396398250121572
2023-03-31,2023-04-30,selection,0.0673876428608307,0.2146359958376794,0.0669583708691554,0.066225464683131,0.00042927199167535875,0.0007329061860244096,0.06622546468313092,0.0673876428608307,0.06695837086915533,0.0663144628816423,0.0652412829024539
2023-04-30,2023-05-31,selection,0.0154302247848392,0.7688392338912002,0.0138925463170568,0.0109630443040969,0.0015376784677824005,0.0029295020129598993,0.0109630443040969,0.0154302247848392,0.0138925463170568,0.011586028615383197,0.007741832445927197
2023-05-31,2023-06-30,selection,0.0100070626354492,0.2222469688305379,0.0095625686977882,0.0086089287190507,0.0004444939376610758,0.0009536399787375,0.008608928719050625,0.0100070626354492,0.009562568697788125,0.008895827791296511,0.007784592947143822
2023-06-30,2023-07-31,selection,0.0349060035351766,0.1473989089618372,0.0346112057172529,0.0341267001761411,0.0002947978179236744,0.00048450554111180433,0.034126700176141125,0.0349060035351766,0.03461120571725293,0.034169008990367414,0.03343201444555823
2023-07-31,2023-08-31,selection,0.009633302163322,0.7283090388807267,0.0081766840855606,0.0054521888211748,0.0014566180777614533,0.0027244952643858,0.005452188821174746,0.009633302163322,0.008176684085560547,0.0059917569689183665,0.0023502117745147332
2023-08-31,2023-09-30,selection,0.0211266659233809,0.1342893771486805,0.0208580871690835,0.0204020761754532,0.000268578754297361,0.0004560109936303028,0.020402076175453233,0.0211266659233809,0.020858087169083536,0.020455219037637497,0.019783772151894093
2023-09-30,2023-10-31,selection,-0.017137736397609,0.2186054696676706,-0.0175749473369444,-0.0184178279197982,0.0004372109393353412,0.0008428805828538007,-0.01841782791979814,-0.017137736397609,-0.01757494733694434,-0.018230763745947353,-0.019323791094285704
2023-10-31,2023-11-30,selection,-0.0104901877850114,0.5786694285302876,-0.011647526642072,-0.0139022598625632,0.001157338857060575,0.0022547332204912,-0.013902259862563174,-0.0104901877850114,-0.011647526642071974,-0.013383534927662838,-0.016276882070314275
2023-11-30,2023-12-31,selection,0.0232664480427987,0.2469961041165434,0.0227724558345656,0.0216337996643531,0.0004939922082330869,0.0011386561702125021,0.021633799664353113,0.0232664480427987,0.022772455834565615,0.022031467522215985,0.020796487001633265
2023-12-31,2024-01-31,selection,0.1294056327580785,0.225623666051224,0.1289543854259761,0.1280948980190319,0.00045124733210244797,0.0008594874069441927,0.12809489801903187,0.1294056327580785,0.12895438542597606,0.1282775144278224,0.12714939609756626
2024-01-31,2024-02-29,retrospective_test,-0.00480566353239,0.5412033070507647,-0.0058880701464916,-0.0081618951483347,0.0010824066141015293,0.0022738250018430996,-0.008161895148334628,-0.00480566353239,-0.005888070146491529,-0.0075116800676438234,-0.010217696602897647
2024-02-29,2024-03-31,retrospective_test,0.0179647997673029,0.1367168610164622,0.01769136604527,0.017047365491148,0.0002734337220329244,0.0006440005541220005,0.017047365491147975,0.0179647997673029,0.017691366045269975,0.017281215462220587,0.016597631157138276
2024-03-31,2024-04-30,retrospective_test,0.0957387055982642,0.204182402527457,0.0953303407932093,0.0943574247208707,0.000408364805054914,0.0009729160723385977,0.09435742472087068,0.0957387055982642,0.09533034079320928,0.09471779358562692,0.09369688157298962
2024-04-30,2024-05-31,retrospective_test,0.0492159621983787,0.8040751383567475,0.0476078119216652,0.0438556323498711,0.001608150276713495,0.0037521795717940995,0.0438556323498711,0.0492159621983787,0.0476078119216652,0.045195586506594956,0.04117521081481122
