signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return,exposure,scaled_turnover,scaled_gross_return,scaled_net_return,hedge_index_return,estimated_beta,hedge_notional,hedge_turnover,hedge_trade_cost,hedge_roll_cost,overlay_gross_return,overlay_net_return
2023-02-28,2023-03-31,-0.0030204125783393,0.3582474226804181,388,0.75,0.2,-0.0037369074237001,0.6820439579850053,0.2448895876693063,-0.0020600541496782,-0.0025498333250168,-0.0027877755391885195,0.9602711700496734,0.4801355850248367,0.007969972686907134,3.984986343453567e-06,0.0004001129875206972,-0.0016819023389130908,-0.002802495158138041
2023-03-31,2023-04-30,0.0001906239408993,0.3647959183673484,392,0.75,0.2,-0.0005389678958353,0.7095631862008381,0.276326080235874,0.0001352597308707,-0.000417392429601,-0.01554920377532265,0.9847959691627608,0.4923979845813804,0.01226239955654368,6.13119977827184e-06,0.000410331653817817,0.007847020541713365,0.006700965851382677
2023-04-30,2023-05-31,0.0068843011523164,0.3664122137404587,393,0.75,0.2,0.0061514767248355,0.8952682205583721,0.4456976522021164,0.0061632960424222,0.005271900738018,-0.030994558697052255,0.9374181176244201,0.46870905881221003,0.023688925769170366,1.1844462884585183e-05,0.00039059088234350844,0.021411731587511564,0.02027647181480257
2023-05-31,2023-06-30,0.0132829690792849,0.3536895674300263,392,0.75,0.2,0.0125755899444248,0.9839396027149532,0.405318411819721,0.0130696393187466,0.0122590024951071,-0.008115675617593965,0.8874457426134975,0.44372287130674876,0.024986187505461277,1.2493093752730638e-05,0.00036976905942229065,0.016884079966917865,0.015794438678882746
2023-06-30,2023-07-31,0.0386458081277029,0.3249370277078099,397,0.75,0.2,0.0379959340722873,1.0,0.335778807235247,0.0386458081277029,0.0379742505132324,0.014925754032633076,0.9447685104123642,0.4723842552061821,0.028661383899433346,1.4330691949716673e-05,0.00039365354600515173,0.031595116925606855,0.03053725863223639
2023-07-31,2023-08-31,-0.0362386944206615,0.4246231155778903,398,0.75,0.2,-0.0370879406518172,1.0,0.4246231155778903,-0.0362386944206615,-0.0370879406518172,-0.057297112197455924,0.9718201632645223,0.4859100816322611,0.013525826426079024,6.762913213039512e-06,0.0004049250680268843,-0.008397449955502869,-0.009658384167898491
2023-08-31,2023-09-30,0.0041670331233796,0.3618090452261294,398,0.75,0.2,0.0034434150329273,0.9809125711697028,0.3739904696555151,0.0040874951752036,0.0033395142358926,-0.008472998102882046,0.9621641489309678,0.4810820744654839,0.004828007166777226,2.4140035833886133e-06,0.00040090172872123657,0.008243240627656204,0.0071163068048992785
2023-09-30,2023-10-31,-0.0031690381159615,0.2718204488778059,401,0.75,0.2,-0.0037126790137171,1.0,0.2857195242355286,-0.0031690381159615,-0.0037404771644325,-0.02856003816335917,0.8920327927804168,0.4460163963902084,0.0350656780752755,1.753283903763775e-05,0.0003716803303251736,0.009569207186426783,0.008636353119308372
2023-10-31,2023-11-30,0.0402830358888034,0.3341584158415871,404,0.75,0.2,0.0396147190571203,1.0,0.3341584158415871,0.0402830358888034,0.0396147190571203,0.003039772404232588,0.894506295818431,0.4472531479092155,0.0012367515190070955,6.183757595035478e-07,0.0003727109565910129,0.038923488112082814,0.0378818419480492
2023-11-30,2023-12-31,-0.0138535783541341,0.321867321867325,407,0.75,0.2,-0.0144973129978688,1.0,0.321867321867325,-0.0138535783541341,-0.0144973129978688,-0.02088537026600401,0.8284991986345307,0.41424959931726535,0.03300354859195015,1.6501774295975074e-05,0.0003452079994310544,-0.0052018220898492114,-0.00620726650731094
